20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       255049.48    255049.48         0.00       457.65295       438.27100      1040.38300      1048.57500     20691.42 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     255049.48    255049.48         0.00       457.65295       438.27100      1040.38300      1048.57500     20691.42 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET       7.615        0.000
GET      32.639        5.000
GET      45.311       10.000
GET      59.391       15.000
GET      86.527       20.000
GET     134.143       25.000
GET     194.559       30.000
GET     255.999       35.000
GET     315.391       40.000
GET     376.831       45.000
GET     438.271       50.000
GET     468.991       52.500
GET     499.711       55.000
GET     532.479       57.500
GET     565.247       60.000
GET     593.919       62.500
GET     622.591       65.000
GET     655.359       67.500
GET     684.031       70.000
GET     716.799       72.500
GET     745.471       75.000
GET     761.855       76.250
GET     774.143       77.500
GET     790.527       78.750
GET     806.911       80.000
GET     819.199       81.250
GET     835.583       82.500
GET     851.967       83.750
GET     868.351       85.000
GET     880.639       86.250
GET     897.023       87.500
GET     905.215       88.125
GET     913.407       88.750
GET     921.599       89.375
GET     929.791       90.000
GET     933.887       90.625
GET     942.079       91.250
GET     950.271       91.875
GET     958.463       92.500
GET     966.655       93.125
GET     974.847       93.750
GET     978.943       94.062
GET     983.039       94.375
GET     987.135       94.688
GET     991.231       95.000
GET     995.327       95.312
GET     999.423       95.625
GET    1003.519       95.938
GET    1007.615       96.250
GET    1007.615       96.562
GET    1011.711       96.875
GET    1015.807       97.031
GET    1015.807       97.188
GET    1019.903       97.344
GET    1019.903       97.500
GET    1023.999       97.656
GET    1023.999       97.812
GET    1028.095       97.969
GET    1028.095       98.125
GET    1032.191       98.281
GET    1032.191       98.438
GET    1032.191       98.516
GET    1032.191       98.594
GET    1036.287       98.672
GET    1036.287       98.750
GET    1036.287       98.828
GET    1036.287       98.906
GET    1036.287       98.984
GET    1040.383       99.062
GET    1040.383       99.141
GET    1040.383       99.219
GET    1040.383       99.258
GET    1044.479       99.297
GET    1044.479       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1044.479       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1044.479       99.609
GET    1044.479       99.629
GET    1048.575       99.648
GET    1048.575      100.000
---
WAIT      0.000      100.000
